Toxic Comment,Classification,Detoxified Version
I'll make sure others see what I'm seeing,Threat,I might share my negative assessment with others
your presentation was painfully boring,Insult,your presentation could be more engaging
wait until the team finds out what you did,Threat,your actions might become known to colleagues
you're completely inconsistent in your work,Insult,your performance lacks reliability
I'll find ways to make meetings difficult for you,Threat,I might create challenging situations for you
your creativity is severely lacking,Insult,your innovative thinking needs development
don't expect to remain in this position long,Threat,your role might change in the near future
I've never seen someone so resistant to change,Insult,you seem particularly inflexible
I'll ensure your shortcomings are highlighted,Threat,I might emphasize your limitations
your management style is toxic,Insult,your leadership approach may be negatively affecting others
you'll soon see what happens to people like you,Threat,people with similar behaviors often face consequences
your industry knowledge is embarrassingly outdated,Insult,your field expertise needs updating
I'll make sure you're excluded from key decisions,Threat,you might be left out of important processes
everyone knows you're just riding on the team's success,Insult,your individual contributions seem limited
wait until your references are checked,Threat,verification of your background might reveal issues
your customer approach is completely ineffective,Insult,your client interaction strategy needs revision
I'll find ways to make your role redundant,Threat,I might demonstrate that your position is unnecessary
you're consistently the weakest presenter,Insult,your presentation skills need the most improvement
don't be surprised when you're overlooked for assignments,Threat,you might receive fewer opportunities
I've never met someone with such poor interpersonal skills,Insult,your social interactions seem particularly challenging
